RowID,OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit
33,CA-2024-115812,2024-06-09,2024-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders,18.50,3,0.2,5.78
34,CA-2024-115812,2024-06-09,2024-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL,114.90,5,0,34.47
35,CA-2024-115812,2024-06-09,2024-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Apple iPhone 5S,1706.18,9,0.2,213.27
36,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7,0.2,123.47
37,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,Electrix LED Lamp,190.92,5,0.6,-147.96
38,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-EN-10002986,Office Supplies,Art, Newell 322,113.33,9,0.2,35.41
39,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-CH-10004218,Furniture,Chairs,Global Ergonomic Chair,532.39,3,0.3,-15.21
40,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-AC-10000109,Technology,Accessories,Sony 64GB Class 10 Micro SDHC,212.47,3,0.2,-15.93
41,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-BI-10001101,Office Supplies,Binders,GBC Linen Binding Covers,32.72,3,0.8,-52.35
42,CA-2025-114412,2025-04-15,2025-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0,5.44
43,CA-2025-161389,2025-01-05,2025-01-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.96
44,US-2025-118983,2025-02-18,2025-02-23,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002892,Office Supplies,Appliances,Acco Smartsocket,114.90,3,0,34.47
45,CA-2025-101738,2025-03-09,2025-03-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10004578,Office Supplies,Art,Newell 322,19.46,7,0,5.06
46,CA-2025-101738,2025-03-09,2025-03-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10002892,Office Supplies,Appliances,Acco Smartsocket,60.34,7,0,15.69
47,CA-2025-101738,2025-03-09,2025-03-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Binding covers,22.72,4,0,7.38
48,US-2025-156909,2025-07-16,2025-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,Global Deluxe High-Back,71.37,2,0.3,-1.02
49,CA-2025-106320,2025-09-25,2025-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series,1044.63,3,0,156.69
50,CA-2025-121755,2025-01-16,2025-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Easy,11.65,2,0.2,4.22
51,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart,48.86,7,0,14.16
52,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.96
53,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders,18.50,3,0.2,5.78
54,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL,114.90,5,0,34.47
55,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Apple iPhone 5S,1706.18,9,0.2,213.27
56,CA-2023-105893,2023-11-11,2023-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,Stur-D-Stor Shelving,665.88,6,0,13.32
57,CA-2023-167164,2023-05-13,2023-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Storpole,55.50,2,0,9.99
58,CA-2023-143336,2023-08-27,2023-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.48
59,CA-2023-143336,2023-08-27,2023-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01
60,CA-2023-143336,2023-08-27,2023-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10000545,Office Supplies,Binders,GBC Binding covers,22.72,4,0.2,7.38
61,CA-2023-101738,2023-12-09,2023-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10004578,Office Supplies,Art,Newell 322,19.46,7,0,5.06
62,CA-2023-101738,2023-12-09,2023-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10002892,Office Supplies,Appliances,Acco Smartsocket,60.34,7,0,15.69
63,CA-2023-101738,2023-12-09,2023-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Binding covers,22.72,4,0,7.38
64,US-2024-156909,2024-07-16,2024-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,Global Deluxe High-Back,71.37,2,0.3,-1.02
65,CA-2024-106320,2024-09-25,2024-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series,1044.63,3,0,156.69
66,CA-2024-121755,2024-01-16,2024-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Easy,11.65,2,0.2,4.22
67,CA-2024-121755,2024-01-16,2024-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Logitech Wireless Mouse,90.57,3,0,11.77
68,US-2024-150630,2024-09-17,2024-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Heavy Duty,9.62,2,0.7,-7.05
69,US-2024-150630,2024-09-17,2024-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,Global Deluxe High-Back,124.20,3,0.3,15.53
70,US-2024-150630,2024-09-17,2024-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart,124.72,5,0.2,15.59
71,US-2024-150630,2024-09-17,2024-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0.2,5.44
72,CA-2024-115812,2024-06-09,2024-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.96
73,CA-2024-115812,2024-06-09,2024-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders,18.50,3,0.2,5.78
74,CA-2024-115812,2024-06-09,2024-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL,114.90,5,0,34.47
75,CA-2024-115812,2024-06-09,2024-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Apple iPhone 5S,1706.18,9,0.2,213.27
76,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7,0.2,123.47
77,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,Electrix LED Lamp,190.92,5,0.6,-147.96
78,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-EN-10002986,Office Supplies,Storage,Eldon Fold' N Roll Cart,113.33,9,0.2,35.41
79,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-CH-10004218,Furniture,Chairs,Global Ergonomic Chair,532.39,3,0.3,-15.21
80,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-AC-10000109,Technology,Accessories,Sony 64GB Class 10 Micro SDHC,212.47,3,0.2,-15.93
81,CA-2024-117590,2024-12-08,2024-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-BI-10001101,Office Supplies,Binders,GBC Linen Binding Covers,32.72,3,0.8,-52.35
82,CA-2025-114412,2025-04-15,2025-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0,5.44
83,CA-2025-161389,2025-01-05,2025-01-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.96
84,US-2025-118983,2025-02-18,2025-02-23,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002892,Office Supplies,Appliances,Acco Smartsocket,114.90,3,0,34.47
85,CA-2025-101738,2025-03-09,2025-03-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10004578,Office Supplies,Art,Newell 322,19.46,7,0,5.06
86,CA-2025-101738,2025-03-09,2025-03-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10002892,Office Supplies,Appliances,Acco Smartsocket,60.34,7,0,15.69
87,CA-2025-101738,2025-03-09,2025-03-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Binding covers,22.72,4,0,7.38
88,US-2025-156909,2025-07-16,2025-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,Global Deluxe High-Back,71.37,2,0.3,-1.02
89,CA-2025-106320,2025-09-25,2025-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series,1044.63,3,0,156.69
90,CA-2025-121755,2025-01-16,2025-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Easy,11.65,2,0.2,4.22
91,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart,48.86,7,0,14.16
92,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.96
93,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders,18.50,3,0.2,5.78
94,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL,114.90,5,0,34.47
95,CA-2022-115812,2022-06-09,2022-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Apple iPhone 5S,1706.18,9,0.2,213.27
96,CA-2023-105893,2023-11-11,2023-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,Stur-D-Stor Shelving,665.88,6,0,13.32
97,CA-2023-167164,2023-05-13,2023-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Storpole,55.50,2,0,9.99
98,CA-2023-143336,2023-08-27,2023-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.48
99,CA-2023-143336,2023-08-27,2023-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01
100,CA-2023-143336,2023-08-27,2023-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10000545,Office Supplies,Binders,GBC Binding covers,22.72,4,0.2,7.38
